Geracao 0:
1: (1, 1) erro: 59.5
2: (3, 12) erro: 910.3

Geracao 1:
1: (1, 1) erro: 59.5
2: (2.114, 12) erro: 530.43

Geracao 2:
1: (1, 1) erro: 59.5
2: (1, 1.487) erro: 60.6138

Geracao 3:
1: (0.795, 1.487) erro: 47.0731
2: (1, 1) erro: 59.5

Geracao 4:
1: (0.795, 1.487) erro: 47.0731
2: (0.901, 1.487) erro: 53.3799

Geracao 5:
1: (0.357, 1.487) erro: 36.7864
2: (0.199, 1.487) erro: 39.3096

Geracao 6:
1: (0.357, 1.711) erro: 35.4991
2: (0.357, 1.487) erro: 36.7864

Geracao 7:
1: (0.357, 1.711) erro: 35.4991
2: (0.357, 1.516) erro: 36.6141

Geracao 8:
1: (0.199, 2.124) erro: 34.5432
2: (0.357, 1.777) erro: 35.1389

Geracao 9:
1: (0.357, 2.655) erro: 31.1767
2: (0.357, 2.124) erro: 33.3887

Geracao 10:
1: (0.357, 2.655) erro: 31.1767
2: (0.199, 2.655) erro: 31.1901

Geracao 11:
1: (0.357, 2.655) erro: 31.1767
2: (0.357, 2.655) erro: 31.1767

Geracao 12:
1: (0.153, 6.055) erro: 21.5839
2: (0.357, 2.655) erro: 31.1767

Geracao 13:
1: (0.153, 6.055) erro: 21.5839
2: (0.357, 6.055) erro: 30.3784

Geracao 14:
1: (0.153, 6.055) erro: 21.5839
2: (0.153, 6.055) erro: 21.5839

Geracao 15:
1: (0.153, 6.007) erro: 21.5675
2: (0.153, 6.055) erro: 21.5839

Geracao 16:
1: (0.153, 6.007) erro: 21.5675
2: (0.153, 6.055) erro: 21.5839

Geracao 17:
1: (0.153, 5.899) erro: 21.5473
2: (0.153, 5.899) erro: 21.5473

Geracao 18:
1: (0.153, 5.899) erro: 21.5473
2: (0.153, 5.899) erro: 21.5473

Geracao 19:
1: (-0.19, 6.067) erro: 19.1666
2: (0.153, 5.899) erro: 21.5473

Geracao 20:
1: (-0.19, 6.067) erro: 19.1666
2: (-0.19, 5.899) erro: 19.9088

Geracao 21:
1: (-0.041, 6.067) erro: 18.3052
2: (-0.19, 6.067) erro: 19.1666

Geracao 22:
1: (-0.041, 6.067) erro: 18.3052
2: (-0.041, 5.899) erro: 18.707

Geracao 23:
1: (-0.041, 6.245) erro: 17.9411
2: (-0.041, 6.067) erro: 18.3052

Geracao 24:
1: (-0.041, 6.245) erro: 17.9411
2: (-0.041, 6.067) erro: 18.3052

Geracao 25:
1: (-0.041, 6.286) erro: 17.8662
2: (-0.041, 6.245) erro: 17.9411

Geracao 26:
1: (-0.041, 6.286) erro: 17.8662
2: (-0.041, 6.245) erro: 17.9411

Geracao 27:
1: (-0.041, 6.419) erro: 17.6464
2: (-0.136, 6.286) erro: 17.7928

Geracao 28:
1: (-0.136, 6.547) erro: 17.0577
2: (-0.041, 7.013) erro: 17.0966

Geracao 29:
1: (-0.136, 7.276) erro: 15.7261
2: (-0.136, 7.013) erro: 16.084

Geracao 30:
1: (-0.136, 7.276) erro: 15.7261
2: (-0.197, 7.013) erro: 16.0637

Geracao 31:
1: (-0.197, 7.276) erro: 15.4877
2: (-0.136, 7.276) erro: 15.7261

Geracao 32:
1: (-0.197, 7.465) erro: 15.1592
2: (-0.197, 7.276) erro: 15.4877

Geracao 33:
1: (-0.197, 7.465) erro: 15.1592
2: (-0.136, 7.845) erro: 15.4253

Geracao 34:
1: (-0.197, 7.845) erro: 14.7149
2: (-0.197, 7.845) erro: 14.7149

Geracao 35:
1: (-0.197, 8.442) erro: 14.6001
2: (-0.197, 7.845) erro: 14.7149

Geracao 36:
1: (-0.197, 8.442) erro: 14.6001
2: (-0.197, 7.845) erro: 14.7149

Geracao 37:
1: (-0.197, 8.442) erro: 14.6001
2: (-0.197, 7.845) erro: 14.7149

Geracao 38:
1: (-0.197, 8.442) erro: 14.6001
2: (-0.197, 8.588) erro: 14.6805

Geracao 39:
1: (-0.197, 8.442) erro: 14.6001
2: (-0.197, 8.588) erro: 14.6805

Geracao 40:
1: (-0.197, 8.442) erro: 14.6001
2: (-0.197, 8.442) erro: 14.6001

Geracao 41:
1: (-0.197, 8.35) erro: 14.5713
2: (-0.197, 8.442) erro: 14.6001

Geracao 42:
1: (-0.197, 8.35) erro: 14.5713
2: (-0.197, 8.442) erro: 14.6001

Geracao 43:
1: (-0.197, 8.35) erro: 14.5713
2: (-0.197, 8.442) erro: 14.6001

Geracao 44:
1: (-0.197, 8.35) erro: 14.5713
2: (-0.197, 8.442) erro: 14.6001

Geracao 45:
1: (-0.197, 8.35) erro: 14.5713
2: (-0.197, 8.442) erro: 14.6001

Geracao 46:
1: (-0.197, 8.35) erro: 14.5713
2: (-0.197, 8.442) erro: 14.6001

Geracao 47:
1: (-0.455, 8.719) erro: 14.1656
2: (-0.197, 8.231) erro: 14.5592

Geracao 48:
1: (-0.455, 8.719) erro: 14.1656
2: (-0.197, 8.231) erro: 14.5592

Geracao 49:
1: (-0.455, 9.106) erro: 13.3286
2: (-0.455, 8.719) erro: 14.1656

Geracao 50:
1: (-0.455, 9.393) erro: 12.9012
2: (-0.455, 9.106) erro: 13.3286

Geracao 51:
1: (-0.455, 9.393) erro: 12.9012
2: (-0.455, 9.106) erro: 13.3286

Geracao 52:
1: (-0.455, 9.393) erro: 12.9012
2: (-0.455, 9.106) erro: 13.3286

Geracao 53:
